rule,ruleName,type
electionresults\.parliament\.uk/election/(\d{4})-\d{2}-\d{2}/[Rr]esults/[Ll]ocation/.+/(.+),{1},Date
calendar\.parliament\.uk/calendar/[^/]+/([^/]+)/(\d+)/(\d+)/(\d+)/,{4}-{3}-{2},Date
(?<filter>electionresults\.parliament\.uk/election/2015-05-07),2015 Election,NA
(?<filter>electionresults\.parliament\.uk/election/2017-06-08),2017 Election,NA
parliament\.uk/business/committees/committees-a-z/joint-select/able-marine-energy-park-development-consent-order-2014,Able Marine Energy Park Development Consent Order 2014 Joint Committee,NA
parliament\.uk/business/publications/parliamentary-archives/who-we-are,About us,NA
parliament\.uk/site-information/foi/accessing-information,Accessing information,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/accommodation-and-works-committee-,Accommodation and Works Committee,NA
publications\.parliament\.uk/pa/.+/cmstords/soaddendum,Addendum to Standing Orders,NA
publications\.parliament\.uk/pa/.+/cmstords/soadd,Addendum to Standing Orders,NA
publications\.parliament\.uk/pa/.+/cmstords/add,Addendum to Standing Orders,NA
archive\.scottish\.parliament\.uk/business/committees/adhocstandards,Adhoc Standards Committee,NA
publications\.parliament\.uk/.+/ldaccwks,Administration and Works Committee,NA
parliament\.uk/documents/lords-committees/admin-and-works,Administration and Works Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/administration-and-works-committee,Administration and Works Committee (Lords),NA
parliament\.uk/documents/commons-expenditure/Admin%20Annual%20Accounts,Administration Annual Accounts,NA
publications\.parliament\.uk/.+/cmadmin,Administration Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/administration-committee,Administration Committee,NA
parliament\.uk/documents/commons-committees/administration,Administration Committee,NA
parliament\.uk/documents/commons-committees/admin-committee,Administration Committee,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/administration-committee-2,Administration Committee (Commons Former Committee),NA
parliament\.uk/business/committees/committees-a-z/other-committees/estimate-audit-committees,Adminstration Estimate Audit and Members Estimate Audit Committee,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/adoption--children-bill-,Adoption & Children Bill,NA
parliament\.uk/business/committees/committees-a-z/lords-select/adoption-legislation-committee,Adoption Legislation Select Committee,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/committee-on-members-allowances,Advisory Panel on Members' Allowances,NA
parliament\.uk/business/committees/committees-a-z/lords-select/affordable-childcare,Affordable Childcare Committee,NA
parliament\.uk/business/publications/business-papers/commons/agenda-and-order-of-business,Agenda and Order of business,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/agriculture-committee-,Agriculture Committee,NA
archive\.scottish\.parliament\.uk/business/committees/airdrieBathgateRB,Airdrie-Bathgate Railway and Linked Improvements Bill,NA
publications\.parliament\.uk/.+/cmallparty,All-Party Parliamentary Groups,NA
parliament\.uk/about/mps-and-lords/members/apg/,All-Party Parliamentary Groups,NA
parliament\.uk/documents/pcfs/all-party-groups,All-Party Parliamentary Groups,NA
parliament\.uk/business/committees/committees-a-z/former-committees/lords-select/animals-in-scientific-procedures,Animals in Scientific Procedures,NA
publications\.parliament\.uk/.+/cmagenda/an(\d{2})(\d{2})(\d{2}),{3}-{2}-{1},Date
[Aa]nnual(.*?)[Rr]eport,Annual report,NA
archive\.scottish\.parliament\.uk/corporate/AnualReports,Annual Reports,NA
(?<filter>petition\.parliament\.uk/archived/petitions),Archived petition,NA
(?<filter>archive\.scottish\.parliament\.uk),Archived Scottish Parliament materials,NA
parliament\.uk/about/living-heritage/building/archives-accommodation-programme,Archives Accommodation Programme,NA
(?<filter>archives\.blog\.parliament\.uk),Archives blog,NA
(?<filter>archivesmapsearch\.lab\.parliament\.uk),Archives Map Search,NA
parliament\.uk/business/committees/committees-a-z/lords-select/arcticcom,Arctic Committee,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/armed-forces-bill,Armed Forces Bill 2005-06,NA
parliament\.uk/business/committees/committees-a-z/commons-select/armed-forces-bill-committee,Armed Forces Bill 2010-11,NA
parliament\.uk/documents/commons-committees/Armed-Forces-Bill,Armed Forces Bill Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/armed-forces-bill-committee-2015,Armed Forces Bill Select Committee 2015,NA
parliament\.uk/worksofart/collection-highlights/around-the-uk,Around the UK,NA
(?<filter>parliament\.uk/about/art-in-parliament),art collection,NA
(?<filter>parliament\.uk/worksofart),art collection,NA
parliament\.uk/business/committees/committees-a-z/lords-select/ai-committee,Artificial Intelligence Committee,NA
parliament\.uk/documents/lords-committees/Artificial-Intelligence,Artificial Intelligence Committee,NA
parliament\.uk/worksofart/artwork,Artwork,NA
